Unnamed: 0;Prod_MA;Messmaschine;Part_SNR;Part_STL;Part_Name;Prod_Maschine;AVO;Mess_Prog;Merkmal;UG;OG;Einheit;Spindel;Messzeitpunkt;Istwert;Stichprobe;Istwert2;Istwert4;Datetime;new
0;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:14:55.000504;6,0678843;1,0;1,0;6,0678843;2020-02-19 01:14:55.000504;2020-02-19 01:14:55.000504
1;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:14:56.000504;6,03;1,0;6,2;6,03;2020-02-19 01:14:56.000504;2020-02-19 01:14:56.000504
2;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:14:57.000504;6,04;1,0;6,04;6,04;2020-02-19 01:14:57.000504;2020-02-19 01:14:57.000504
3;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:14:58.000504;12,0;2,0;6,0;12,0;2020-02-19 01:14:58.000504;2020-02-19 01:14:58.000504
4;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:14:59.000504;5,94;2,0;5,94;5,94;2020-02-19 01:14:59.000504;2020-02-19 01:14:59.000504
5;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:15:00.000504;6,322928;2,0;6,322928;6,322928;2020-02-19 01:15:00.000504;2020-02-19 01:15:00.000504
6;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:15:20.000504;12,0;3,0;6,0;6,0;2020-02-19 01:15:20.000504;2020-02-19 01:15:20.000504
7;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:15:21.000505;6,2;3,0;6,2;6,2;2020-02-19 01:15:21.000505;2020-02-19 01:15:21.000505
8;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:15:22.000506;6,05;3,0;6,05;6,05;2020-02-19 01:15:22.000506;2020-02-19 01:15:22.000506
9;515151_1;777777,0;324049916,0;4711,0;Siemenslufthaken;505050,0;10,0;1111,0;101_4v5_A4_A4_DM;5,8;6,2;mm;1,0;2020-02-19 01:15:25.000507;6,002999999999999;4,0;11,3;6,002999999999999;2020-02-19 01:15:25.000507;2020-02-19 01:15:25.000507
