;iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;total_tests;new_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;total_boosters;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;total_boosters_per_hundred;new_vaccinations_smoothed_per_million;new_people_vaccinated_smoothed;new_people_vaccinated_smoothed_per_hundred;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index;excess_mortality_cumulative_absolute;excess_mortality_cumulative;excess_mortality;excess_mortality_cumulative_per_million
0;GBR;Europe;United Kingdom;2020-01-31;2,0;2,0;;;;;0,029;0,029;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,33;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
1;GBR;Europe;United Kingdom;2020-02-01;2,0;0,0;;;;;0,029;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8,33;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
2;GBR;Europe;United Kingdom;2020-02-02;2,0;0,0;;;;;0,029;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;-1956,3;-2,68;-5,6;-28,68175891
3;GBR;Europe;United Kingdom;2020-02-03;8,0;6,0;;;;;0,117;0,088;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
4;GBR;Europe;United Kingdom;2020-02-04;8,0;0,0;;;;;0,117;0,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
5;GBR;Europe;United Kingdom;2020-02-05;9,0;1,0;1,286;;;;0,132;0,015;0,019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
6;GBR;Europe;United Kingdom;2020-02-06;9,0;0,0;1,286;;;;0,132;0,0;0,019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
7;GBR;Europe;United Kingdom;2020-02-07;9,0;0,0;1,0;;;;0,132;0,0;0,015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
8;GBR;Europe;United Kingdom;2020-02-08;13,0;4,0;1,571;;;;0,191;0,059;0,023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
9;GBR;Europe;United Kingdom;2020-02-09;14,0;1,0;1,714;;;;0,205;0,015;0,025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;-2995,2;-3,46;-7,66;-43,91330793
10;GBR;Europe;United Kingdom;2020-02-10;14,0;0,0;0,857;;;;0,205;0,0;0,013;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
11;GBR;Europe;United Kingdom;2020-02-11;15,0;1,0;1,0;;;;0,22;0,015;0,015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
12;GBR;Europe;United Kingdom;2020-02-12;16,0;1,0;1,0;;;;0,235;0,015;0,015;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
13;GBR;Europe;United Kingdom;2020-02-13;17,0;1,0;1,143;;;;0,249;0,015;0,017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
14;GBR;Europe;United Kingdom;2020-02-14;18,0;1,0;1,286;;;;0,264;0,015;0,019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
15;GBR;Europe;United Kingdom;2020-02-15;18,0;0,0;0,714;;;;0,264;0,0;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
16;GBR;Europe;United Kingdom;2020-02-16;18,0;0,0;0,571;;;;0,264;0,0;0,008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;-3845,7;-3,85;-6,41;-56,38268172
17;GBR;Europe;United Kingdom;2020-02-17;19,0;1,0;0,714;;;;0,279;0,015;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
18;GBR;Europe;United Kingdom;2020-02-18;19,0;0,0;0,571;;;;0,279;0,0;0,008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
19;GBR;Europe;United Kingdom;2020-02-19;20,0;1,0;0,571;;;;0,293;0,015;0,008;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
20;GBR;Europe;United Kingdom;2020-02-20;22,0;2,0;0,714;;;;0,323;0,029;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
21;GBR;Europe;United Kingdom;2020-02-21;23,0;1,0;0,714;;;;0,337;0,015;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
22;GBR;Europe;United Kingdom;2020-02-22;23,0;0,0;0,714;;;;0,337;0,0;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
23;GBR;Europe;United Kingdom;2020-02-23;28,0;5,0;1,429;;;;0,411;0,073;0,021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;-4760,6;-4,21;-6,92;-69,79623856
24;GBR;Europe;United Kingdom;2020-02-24;30,0;2,0;1,571;;;;0,44;0,029;0,023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
25;GBR;Europe;United Kingdom;2020-02-25;34,0;4,0;2,143;;;;0,498;0,059;0,031;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
26;GBR;Europe;United Kingdom;2020-02-26;37,0;3,0;2,429;;;;0,542;0,044;0,036;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
27;GBR;Europe;United Kingdom;2020-02-27;44,0;7,0;3,143;;;;0,645;0,103;0,046;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
28;GBR;Europe;United Kingdom;2020-02-28;56,0;12,0;4,714;;;;0,821;0,176;0,069;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
29;GBR;Europe;United Kingdom;2020-02-29;61,0;5,0;5,429;;;;0,894;0,073;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11,11;68207114,0;272,898;40,8;18,517;12,527;39753,244;0,2;122,137;4,28;20,0;24,7;;2,54;81,32;0,932;;;;
