;Unnamed: 0;Messmaschine;Part_SNR;Part_STL;Prod_Maschine;AVO;Mess_Prog;UG;OG;Spindel;Istwert;Stichprobe;Istwert2;Istwert4
Unnamed: 0;1,0;-0,8546547739343036;;;;;;0,0;;0,8546547739343042;-0,06852333608419124;0,9930191118612669;0,27325210087309754;-0,14646867648989131
Messmaschine;-0,8546547739343036;1,0;;;;;;-3,935556182304939e-11;;-1,0000000000000007;-0,015145394696991004;-0,8483677805978149;-0,15180115941385147;0,07979588109497275
Part_SNR;;;;;;;;;;;;;;
Part_STL;;;;;;;;;;;;;;
Prod_Maschine;;;;;;;;;;;;;;
AVO;;;;;;;;;;;;;;
Mess_Prog;;;;;;;;;;;;;;
UG;0,0;-3,935556182304939e-11;;;;;;1,0;;4,316224679613765e-16;5,284716559055404e-16;0,0;-2,4378295397865306e-16;3,498964672528428e-16
OG;;;;;;;;;;;;;;
Spindel;0,8546547739343042;-1,0000000000000007;;;;;;4,316224679613765e-16;;1,0;0,015145394696991003;0,8483677805978154;0,15180115941385153;-0,07979588109497282
Istwert;-0,06852333608419124;-0,015145394696991004;;;;;;5,284716559055404e-16;;0,015145394696991003;1,0;-0,00870220939653138;0,23177663529430476;0,5104827278391441
Stichprobe;0,9930191118612669;-0,8483677805978149;;;;;;0,0;;0,8483677805978154;-0,00870220939653138;1,0;0,30861670748191655;-0,12984352336212412
Istwert2;0,27325210087309754;-0,15180115941385147;;;;;;-2,4378295397865306e-16;;0,15180115941385153;0,23177663529430476;0,30861670748191655;1,0;0,38278404079248113
Istwert4;-0,14646867648989131;0,07979588109497275;;;;;;3,498964672528428e-16;;-0,07979588109497282;0,5104827278391441;-0,12984352336212412;0,38278404079248113;1,0
